Wall time,Step,Value
1563286353.901087,0,0.9419326186180115
1563286362.6150742,1,0.9652793407440186
1563286371.0660007,2,0.9672824144363403
1563286379.4559152,3,0.971733808517456
1563286388.4219606,4,0.9666147232055664
1563286396.3467672,5,0.9706209897994995
1563286404.7046735,6,0.9708435535430908
1563286413.1946106,7,0.9759625792503357
1563286421.5915246,8,0.9781882762908936
1563286429.7983968,9,0.9781882762908936
